Data Management, ci-repo-dst-mdm-profisee_develop_20220422_.1, ci-repo-dst-mdm-profisee, succeeded, 04/22/2022 18:08:14
Data Management, ci-repo-dst-mdm-profisee_bugfix-20220422-nbd_20220422_.4, ci-repo-dst-mdm-profisee, succeeded, 04/22/2022 18:07:24
Data Management, ci-repo-dst-mdm-profisee_bugfix-20220422-nbd_20220422_.3, ci-repo-dst-mdm-profisee, succeeded, 04/22/2022 17:18:15
Data Management, ci-repo-dst-mdm-profisee_bugfix-20220422-nbd_20220422_.2, ci-repo-dst-mdm-profisee, succeeded, 04/22/2022 16:36:37
Data Management, ci-repo-dst-mdm-profisee_bugfix-20220422-nbd_20220422_.1, ci-repo-dst-mdm-profisee, succeeded, 04/22/2022 14:11:08
Data Management, ci-repo-dst-snowflake-cdw_release-1.8.1_20220421_.2, ci-repo-dst-snowflake-cdw, succeeded, 04/21/2022 19:26:14
Data Management, ci-repo-dst-snowflake-cdw_release-1.8.1_20220421_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/21/2022 19:07:50
Data Management, ci-repo-dst-mdm-profisee_release-1.2_20220420_.1, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 20:43:15
Data Management, ci-repo-dst-mdm-profisee_develop_20220420_.6, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 18:39:40
Data Management, ci-repo-dst-mdm-profisee_bugfix-0420-reject-reason_20220420_.4, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 18:38:50
Data Management, ci-repo-dst-mdm-profisee_develop_20220420_.5, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 18:04:30
Data Management, ci-repo-dst-mdm-profisee_bugfix-0420-reject-reason_20220420_.3, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 18:03:33
Data Management, ci-repo-dst-mdm-profisee_bugfix-0420-reject-reason_20220420_.2, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 18:00:08
Data Management, ci-repo-dst-adf-cdw-load_main_20220420_13_16.1, ci-repo-dst-adf-cdw-load, succeeded, 04/20/2022 17:16:53
Data Management, ci-repo-dst-mdm-profisee_develop_20220420_.4, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 15:41:43
Data Management, ci-repo-dst-mdm-profisee_bugfix-0420-reject-reason_20220420_.1, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 15:40:43
Data Management, ci-repo-dst-mdm-profisee_develop_20220420_.3, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 15:31:21
Data Management, ci-repo-dst-mdm-profisee_bugfix-0420-mdm-deployment_20220420_.2, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 15:30:13
Data Management, ci-repo-dst-mdm-profisee_bugfix-0420-mdm-deployment_20220420_.1, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 15:29:27
Data Management, ci-repo-dst-mdm-profisee_develop_20220420_.2, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 15:27:56
Data Management, ci-repo-dst-mdm-profisee_develop_20220420_.1, ci-repo-dst-mdm-profisee, succeeded, 04/20/2022 13:23:17
Data Management, ci-repo-dst-mdm-profisee_develop_20220419_.7, ci-repo-dst-mdm-profisee, succeeded, 04/19/2022 20:49:01
Data Management, ci-repo-dst-mdm-profisee_develop_20220419_.6, ci-repo-dst-mdm-profisee, succeeded, 04/19/2022 20:43:07
Data Management, ci-repo-dst-mdm-profisee_develop_20220419_.5, ci-repo-dst-mdm-profisee, succeeded, 04/19/2022 20:31:38
Data Management, ci-repo-dst-mdm-profisee_develop_20220419_.4, ci-repo-dst-mdm-profisee, succeeded, 04/19/2022 19:35:14
Data Management, ci-repo-dst-mdm-profisee_develop_20220419_.3, ci-repo-dst-mdm-profisee, succeeded, 04/19/2022 18:59:05
Data Management, ci-repo-dst-mdm-profisee_develop_20220419_.2, ci-repo-dst-mdm-profisee, succeeded, 04/19/2022 17:10:54
Data Management, ci-repo-dst-mdm-profisee_develop_20220419_.1, ci-repo-dst-mdm-profisee, succeeded, 04/19/2022 16:46:10
Data Management, ci-repo-dst-adf-cdw-load_release-1.8_20220418_17_18.1, ci-repo-dst-adf-cdw-load, succeeded, 04/18/2022 21:18:17
Data Management, ci-repo-dst-mdm-profisee_develop_20220418_.2, ci-repo-dst-mdm-profisee, succeeded, 04/18/2022 19:46:34
Data Management, ci-repo-dst-mdm-profisee_develop_20220418_.1, ci-repo-dst-mdm-profisee, succeeded, 04/18/2022 18:43:43
Data Management, ci-repo-dst-snowflake-cdw_develop_20220414_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/14/2022 19:38:08
Data Management, ci-repo-dst-mdm-profisee_develop_20220414_.2, ci-repo-dst-mdm-profisee, succeeded, 04/14/2022 19:06:36
Data Management, ci-repo-dst-adf-cdw-load_develop_20220414_11_34.1, ci-repo-dst-adf-cdw-load, succeeded, 04/14/2022 15:34:49
Data Management, ci-repo-dst-mdm-profisee_develop_20220414_.1, ci-repo-dst-mdm-profisee, succeeded, 04/14/2022 15:03:27
Data Management, ci-repo-dst-snowflake-cdw_develop_20220413_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/13/2022 20:50:31
Data Management, ci-repo-dst-mdm-profisee_develop_20220413_.1, ci-repo-dst-mdm-profisee, succeeded, 04/13/2022 14:46:57
Data Management, ci-repo-dst-snowflake-cdw_main_20220413_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/13/2022 13:59:59
Data Management, ci-repo-dst-adf-cdw-load_develop_20220412_12_18.1, ci-repo-dst-adf-cdw-load, succeeded, 04/12/2022 16:18:48
Data Management, ci-repo-dst-adf-cdw-load_bugfix-employee-paramter-fix_20220412_11_37.1, ci-repo-dst-adf-cdw-load, succeeded, 04/12/2022 15:37:33
Data Management, ci-repo-dst-adf-cdw-load_bugfix-employee-paramter-fix_20220412_11_32.1, ci-repo-dst-adf-cdw-load, succeeded, 04/12/2022 15:33:01
Data Management, ci-repo-dst-adf-cdw-load_bugfix-employee-paramter-fix_20220412_10_19.1, ci-repo-dst-adf-cdw-load, succeeded, 04/12/2022 14:19:34
Data Management, ci-repo-dst-adf-cdw-load_bugfix-employee-paramter-fix_20220412_10_11.1, ci-repo-dst-adf-cdw-load, succeeded, 04/12/2022 14:11:14
Data Management, ci-repo-dst-snowflake-cdw_release-1.8_20220411_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/11/2022 21:07:47
Data Management, ci-repo-dst-snowflake-cdw_develop_20220411_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/11/2022 21:06:15
Data Management, ci-repo-dst-mdm-profisee_release-1.2_20220411_.1, ci-repo-dst-mdm-profisee, succeeded, 04/11/2022 18:39:12
Data Management, ci-repo-dst-mdm-profisee_develop_20220411_.1, ci-repo-dst-mdm-profisee, succeeded, 04/11/2022 18:33:37
Data Management, ci-repo-dst-mdm-profisee_develop_20220409_.1, ci-repo-dst-mdm-profisee, succeeded, 04/10/2022 03:41:17
Data Management, ci-repo-dst-mdm-profisee_bugfix-0409-mdm-deployment_20220409_.2, ci-repo-dst-mdm-profisee, succeeded, 04/10/2022 03:40:20
Data Management, ci-repo-dst-mdm-profisee_bugfix-0409-mdm-deployment_20220409_.1, ci-repo-dst-mdm-profisee, succeeded, 04/10/2022 03:29:11
Data Management, ci-repo-dst-snowflake-cdw_release-1.8_20220408_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/08/2022 20:04:12
Data Management, ci-repo-dst-snowflake-cdw_develop_20220407_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/07/2022 19:45:54
Data Management, ci-repo-dst-sql-dba_develop_20220407_15_22.1, ci-repo-dst-sql-dba, succeeded, 04/07/2022 19:23:01
Data Management, ci-repo-dst-adf-cdw-load_develop_20220407_15_21.1, ci-repo-dst-adf-cdw-load, succeeded, 04/07/2022 19:22:26
Data Management, ci-repo-dst-adf-cdw-load_develop_20220407_9_28.1, ci-repo-dst-adf-cdw-load, failed, 04/07/2022 13:28:20
Data Management, ci-repo-dst-adf-cdw-load_develop_20220406_16_16.1, ci-repo-dst-adf-cdw-load, failed, 04/06/2022 20:16:52
Data Management, ci-repo-dst-adf-cdw-load_develop_20220406_16_14.1, ci-repo-dst-adf-cdw-load, failed, 04/06/2022 20:15:00
Data Management, ci-repo-dst-snowflake-cdw_develop_20220406_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/06/2022 18:39:05
Data Management, ci-repo-dst-snowflake-cdw_develop_20220405_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/05/2022 20:26:57
Data Management, ci-repo-dst-mdm-profisee_develop_20220404_.1, ci-repo-dst-mdm-profisee, succeeded, 04/05/2022 02:13:49
